"","Action","Drama","Crime","Animation","Comedy","Thriller","War","Film-Noir","Adventure","Mystery","Fantasy","Sci-Fi","Romance","Western","Documentary","Musical","Horror","Children's"
"1",2019,2019,858,745,745,745,527,922,1198,904,260,260,912,3030,1147,899,1278,919
"2",858,318,50,1148,1148,50,1178,3435,260,1212,1097,750,3307,1304,1189,919,1219,3114
"3",1198,858,3435,720,3030,904,750,913,1204,913,247,2571,1197,1283,2859,1288,1214,1
"4",260,527,1221,1223,3307,1212,912,1252,1262,1252,1073,1196,898,1201,246,914,1258,2761
"5",1221,1178,1234,3429,3022,2762,1204,1267,1197,1284,2797,541,930,1266,2064,945,1387,1023
"6",2028,1207,1260,3114,1223,908,1250,1284,1196,903,2138,1214,1172,599,162,2300,1348,1097
"7",2571,912,910,3000,3429,593,1262,2186,1254,3730,2872,1240,899,3365,2677,1947,2648,1282
"8",1197,3030,296,1,1136,1252,2028,1260,969,950,1019,1253,969,3671,3007,2565,1997,1028
"9",1233,1193,1213,741,2324,1267,1233,930,919,1617,2968,1200,1247,3037,2693,1220,1340,34
"10",1196,923,1945,2761,1234,2571,1196,541,3000,942,3479,1199,2692,3508,1191,1035,2664,595
